,AGE,SEX,FTPT,GOVTOF2,SC20MMJ,TTUSHR,GRSSWK,DISEA,ETHUKEUL,HIQUL22D
2919,57,1,1,10,3,38,750,1,1,4
2920,25,2,1,10,3,37,615,2,1,3
2922,66,1,1,10,1,40,1923,2,3,1
2926,66,1,1,10,1,60,1923,2,1,4
2927,64,2,1,10,8,40,577,2,1,4
2928,60,2,2,10,6,15,144,2,1,3
2929,59,1,1,10,2,40,1923,2,1,1
2948,23,1,1,10,2,49,904,2,1,3
2949,23,2,1,10,3,40,615,2,1,2
2959,64,2,2,10,7,16,156,2,1,3
2964,34,1,1,10,1,38,1808,2,1,3
2965,34,2,2,10,2,16,288,2,1,1
2994,47,1,1,10,1,40,638,2,1,4
2997,36,2,1,10,4,28,462,1,1,3
2998,45,1,1,10,4,24,404,2,1,4
3008,39,1,2,10,5,30,369,2,1,2
3062,43,1,1,10,3,41,1077,2,1,1
3063,45,2,2,10,2,30,423,2,1,1
3066,20,2,2,10,7,8,85,1,1,3
3077,30,1,1,10,4,42,962,2,1,4
3079,36,2,2,10,2,26,346,2,1,3
3080,38,1,1,10,8,60,865,2,1,4
3094,22,2,2,10,9,12,120,2,1,3
3103,60,1,2,10,2,25,279,2,1,1
3107,73,1,2,10,8,28,300,2,1,4
3109,47,2,1,10,6,30,288,1,1,1
3114,28,1,1,10,3,38,596,2,1,1
3131,52,1,1,10,1,50,1192,2,1,2
3134,44,2,1,10,1,41,1192,2,1,1
3135,44,1,1,10,2,38,1154,2,1,1
3149,49,1,1,10,3,45,217,2,1,3
3173,68,1,1,9,9,23,275,2,1,4
3186,38,2,1,9,1,55,865,2,1,1
3189,44,1,1,9,9,64,839,2,1,4
3190,45,2,1,9,2,32,462,2,2,1
3261,51,2,1,9,3,38,410,2,2,1
3264,45,1,1,9,8,56,692,2,1,1
3265,45,2,1,9,9,20,202,2,1,1
3270,63,1,2,9,2,35,1269,2,1,1
3289,50,1,1,9,1,45,942,2,1,1
3290,43,2,2,9,2,26,346,2,1,1
3294,35,1,1,10,2,35,1090,2,1,1
3295,35,2,1,10,4,38,510,2,1,1
3299,27,2,1,9,4,37,1019,2,1,1
3300,27,1,1,9,8,55,863,2,1,5
3303,58,1,1,9,7,42,462,2,1,4
3313,65,2,2,9,2,20,210,1,1,1
3325,49,2,1,9,2,38,841,2,7,1
3326,53,1,1,9,9,35,430,2,7,5
3328,36,2,1,9,3,42,529,1,1,1
3337,60,2,2,9,2,22,423,2,1,1
3348,34,1,1,9,6,42,338,2,1,7
3352,67,2,2,9,4,25,288,2,1,3
